WOJEWODZTWO;NUTS3;NUTS3_OPIS;LUDNOSC;STATYSTYKA;KLIENCI;KLIENCI_DEF2;SALDO
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Ogó³em;1260426;103819;67469614071,8221627380952380952380952381
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Ratalne;324767;17638;1988110036,15306428571428571428571428571
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Karty;461479;22238;1278028718,25
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Limity;539181;17598;843610551,583333333333333333333333333332
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Gotówkowe;451782;46274;13811874876,073797619047619047619047619
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Bank;1241771;87484;67054971727,6394627380952380952380952381
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Po¿yczki pozabankowe;60279;27031;414642344,1827
Dolnoœl¹skie;PL51;Dolnoœl¹skie;2407631;Mieszkaniowe;371724;3995;49121709936,0792675
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Ogó³em;849679;77471;32971938560,2839942857142857142857142857
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Limity;400257;13432;587785412,750000000000000000000000000003
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Po¿yczki pozabankowe;48240;22129;339573103
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Ratalne;211997;12395;1090278165,47836666666666666666666666667
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Karty;253925;16595;680419935,333333333333333333333333333335
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Gotówkowe;321013;34128;8832735433,25658333333333333333333333332
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Mieszkaniowe;217662;2323;21431898469,4657109523809523809523809524
Kujawsko-Pomorskie;PL61;Kujawsko-pomorskie;1702796;Bank;833543;63961;32632365457,2839942857142857142857142857
Lubelskie;PL81;Lubelskie;1744121;Gotówkowe;263304;22239;7052492615,3445647619047619047619047619
Lubelskie;PL81;Lubelskie;1744121;Limity;337424;8559;371079174,066666666666666666666666666666
Lubelskie;PL81;Lubelskie;1744121;Po¿yczki pozabankowe;29548;12915;195856330
Lubelskie;PL81;Lubelskie;1744121;Mieszkaniowe;195252;1694;18796711190,1504657142857142857142857143
Lubelskie;PL81;Lubelskie;1744121;Ratalne;167259;7069;736533163,438316666666666666666666666666
Lubelskie;PL81;Lubelskie;1744121;Bank;725900;41344;27419398726,8333471428571428571428571427
Lubelskie;PL81;Lubelskie;1744121;Karty;197021;10451;454351435,499999999999999999999999999999
Lubelskie;PL81;Lubelskie;1744121;Ogó³em;735712;49208;27615255056,8333471428571428571428571427
Lubuskie;PL43;Lubuskie;831233;Limity;186215;6030;270871644,2
Lubuskie;PL43;Lubuskie;831233;Ratalne;114573;6662;684626902,5037
Lubuskie;PL43;Lubuskie;831233;Ogó³em;429558;37756;18187040252,2082583333333333333333333333
Lubuskie;PL43;Lubuskie;831233;Gotówkowe;165987;16224;4803927254,61798333333333333333333333334
Lubuskie;PL43;Lubuskie;831233;Po¿yczki pozabankowe;22043;9759;147043773,5
Lubuskie;PL43;Lubuskie;831233;Karty;142441;8295;370190872
Lubuskie;PL43;Lubuskie;831233;Mieszkaniowe;120942;1344;11909285804,8865749999999999999999999999
Lubuskie;PL43;Lubuskie;831233;Bank;422719;31770;18039996478,7082583333333333333333333333
£ódzkie;PL71;£ódzkie;2048466;Karty;305423;17788;809802386,5
£ódzkie;PL71;£ódzkie;2048466;Ratalne;226327;10397;1255148389,9156
£ódzkie;PL71;£ódzkie;2048466;Po¿yczki pozabankowe;41974;18108;306168310
£ódzkie;PL71;£ódzkie;2048466;Gotówkowe;352669;33169;10154180992,3821916666666666666666666667
£ódzkie;PL71;£ódzkie;2048466;Bank;951324;63004;35837274745,5933390079365079365079365079
£ódzkie;PL71;£ódzkie;2048466;Mieszkaniowe;230108;2328;22971593574,2455473412698412698412698412
£ódzkie;PL71;£ódzkie;2048466;Limity;441074;13427;631049974,300000000000000000000000000001
£ódzkie;PL71;£ódzkie;2048466;Ogó³em;964332;73708;36143443055,5933390079365079365079365079
Ma³opolskie;PL21;Ma³opolskie;2755374;Po¿yczki pozabankowe;43667;18442;328462607,5
Ma³opolskie;PL21;Ma³opolskie;2755374;Limity;521946;11464;706125541,066666666666666666666666666667
Ma³opolskie;PL21;Ma³opolskie;2755374;Mieszkaniowe;297410;2796;38097935241,1403109523809523809523809524
Ma³opolskie;PL21;Ma³opolskie;2755374;Ratalne;285481;10261;1602285130,09972238095238095238095238095
Ma³opolskie;PL21;Ma³opolskie;2755374;Ogó³em;1193064;73430;53295243756,9146514285714285714285714287
Ma³opolskie;PL21;Ma³opolskie;2755374;Karty;400287;19069;1139247785,5
Ma³opolskie;PL21;Ma³opolskie;2755374;Gotówkowe;398116;33385;11401595261,6079514285714285714285714286
Ma³opolskie;PL21;Ma³opolskie;2755374;Bank;1180400;62926;52966781149,4146514285714285714285714287
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Gotówkowe;396179;41912;15891716270,1447835714285714285714285715
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Bank;1393903;82315;123987266079,885194642857142857142857143
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Limity;601418;18059;1208302873,24914285714285714285714285714
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Ratalne;285660;10084;2011852048,630575
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Po¿yczki pozabankowe;46196;17790;350428120
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Ogó³em;1406290;92467;124337694199,885194642857142857142857143
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Karty;618739;28222;2374315037,8
Mazowieckie;PL91;Warszawski sto³eczny;2469294;Mieszkaniowe;496187;6285;102430616522,394026547619047619047619048
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Ratalne;196479;9840;967157149,015941666666666666666666666666
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Limity;354128;10250;452662810,519047619047619047619047619048
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Ogó³em;811983;64182;30717963334,0561032142857142857142857145
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Po¿yczki pozabankowe;37895;16512;269499934,1827
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Gotówkowe;306490;29206;8801983710,67290476190476190476190476191
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Karty;228077;14820;560430744,833333333333333333333333333332
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Mieszkaniowe;206422;1942;19658262676,8321758333333333333333333333
Mazowieckie;PL92;Mazowiecki regionalny;1904881;Bank;799772;54402;30448463399,8734032142857142857142857145
Opolskie;PL52;Opolskie;829312;Mieszkaniowe;91215;885;8610429815,10726285714285714285714285713
Opolskie;PL52;Opolskie;829312;Bank;339161;21960;13243736885,0115804761904761904761904761
Opolskie;PL52;Opolskie;829312;Po¿yczki pozabankowe;16475;7043;113077417,2612
Opolskie;PL52;Opolskie;829312;Limity;140163;3917;199433742,583333333333333333333333333334
Opolskie;PL52;Opolskie;829312;Gotówkowe;129185;11981;3627464290,08616428571428571428571428571
Opolskie;PL52;Opolskie;829312;Ogó³em;344273;26217;13356814302,2727804761904761904761904761
Opolskie;PL52;Opolskie;829312;Ratalne;93190;4579;537372331,73482
Opolskie;PL52;Opolskie;829312;Karty;109468;5270;267916231,499999999999999999999999999999
Podkarpackie;PL82;Podkarpackie;1741592;Bank;673203;31279;20729771390,8805189285714285714285714286
Podkarpackie;PL82;Podkarpackie;1741592;Mieszkaniowe;161123;1269;13704371863,5774832142857142857142857143
Podkarpackie;PL82;Podkarpackie;1741592;Limity;324856;6123;305660457,000000000000000000000000000001
Podkarpackie;PL82;Podkarpackie;1741592;Ogó³em;681446;37735;20909580896,8150189285714285714285714286
Podkarpackie;PL82;Podkarpackie;1741592;Gotówkowe;237760;16923;5594724532,79921904761904761904761904764
Podkarpackie;PL82;Podkarpackie;1741592;Po¿yczki pozabankowe;25919;10668;179809505,9345
Podkarpackie;PL82;Podkarpackie;1741592;Karty;182536;8736;405605956,166666666666666666666666666666
Podkarpackie;PL82;Podkarpackie;1741592;Ratalne;152414;5041;707582606,83715
Podlaskie;PL84;Podlaskie;975646;Limity;172534;4726;207719364,533333333333333333333333333332
Podlaskie;PL84;Podlaskie;975646;Po¿yczki pozabankowe;15193;6909;101392824,5
Podlaskie;PL84;Podlaskie;975646;Ratalne;87591;3542;421951347,783016666666666666666666666666
Podlaskie;PL84;Podlaskie;975646;Gotówkowe;128452;11269;3999295805,57464166666666666666666666668
Podlaskie;PL84;Podlaskie;975646;Mieszkaniowe;103752;679;9915452000,87931166666666666666666666677
Podlaskie;PL84;Podlaskie;975646;Bank;380501;21355;14816871328,7703033333333333333333333333
Podlaskie;PL84;Podlaskie;975646;Karty;118315;5837;266714351,5
Podlaskie;PL84;Podlaskie;975646;Ogó³em;385479;25587;14918264153,2703033333333333333333333333
Pomorskie;PL63;Pomorskie;1875085;Karty;333347;16193;1004125582,01666666666666666666666666667
Pomorskie;PL63;Pomorskie;1875085;Ratalne;247076;12581;1567857988,27185
Pomorskie;PL63;Pomorskie;1875085;Po¿yczki pozabankowe;50180;21186;332680570,1827
Pomorskie;PL63;Pomorskie;1875085;Bank;949980;63035;54568813212,4927788095238095238095238096
Pomorskie;PL63;Pomorskie;1875085;Gotówkowe;348161;32735;10945151928,5754483333333333333333333334
Pomorskie;PL63;Pomorskie;1875085;Mieszkaniowe;300479;3343;40275437914,2954804761904761904761904762
Pomorskie;PL63;Pomorskie;1875085;Limity;419060;13783;739730134,333333333333333333333333333334
Pomorskie;PL63;Pomorskie;1875085;Ogó³em;966904;76235;54901493782,6754788095238095238095238096
Œl¹skie;PL22;Œl¹skie;3761470;Bank;1826219;133612;68615292115,7484995779220779220779220779
Œl¹skie;PL22;Œl¹skie;3761470;Limity;859948;25024;1204941683
Œl¹skie;PL22;Œl¹skie;3761470;Gotówkowe;657016;77037;19838454307,4853720779220779220779220779
Œl¹skie;PL22;Œl¹skie;3761470;Ratalne;489378;22527;2877963843,47988
Œl¹skie;PL22;Œl¹skie;3761470;Ogó³em;1853913;156448;69266091050,2484995779220779220779220779
Œl¹skie;PL22;Œl¹skie;3761470;Mieszkaniowe;436390;5178;42991683302,1999141666666666666666666665
Œl¹skie;PL22;Œl¹skie;3761470;Po¿yczki pozabankowe;90973;39473;650798934,5
Œl¹skie;PL22;Œl¹skie;3761470;Karty;622577;34065;1688938954,58333333333333333333333333333
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Bank;394123;24737;11908383630,0865683333333333333333333334
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Mieszkaniowe;85014;738;7512799417,60444333333333333333333333339
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Po¿yczki pozabankowe;17816;7964;122179576
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Limity;179791;4711;197733686,716666666666666666666666666666
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Karty;109213;6997;253657106,500000000000000000000000000001
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Ogó³em;400178;29560;12030563206,0865683333333333333333333334
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Gotówkowe;141837;13132;3516391071,83595833333333333333333333333
Œwiêtokrzyskie;PL72;Œwiêtokrzyskie;1035962;Ratalne;95885;4210;424148173,6795
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Ogó³em;571782;50819;23595138790,2341982142857142857142857144
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Gotówkowe;217884;21646;6263408653,74646071428571428571428571428
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Ratalne;133987;8715;690863218,870633333333333333333333333333
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Bank;561800;42639;23397325634,7341982142857142857142857144
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Po¿yczki pozabankowe;30164;13681;197813155,5
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Limity;274993;9831;334834431,383333333333333333333333333334
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Karty;161480;10405;395147817
Warmiñsko-Mazurskie;PL62;Warmiñsko-mazurskie;1167246;Mieszkaniowe;161842;1662;15703766937,7337708333333333333333333333
Wielkopolskie;PL41;Wielkopolskie;2818023;Gotówkowe;522926;51332;15350712607,4204502380952380952380952381
Wielkopolskie;PL41;Wielkopolskie;2818023;Ratalne;376521;17565;2111295131,44578333333333333333333333333
Wielkopolskie;PL41;Wielkopolskie;2818023;Po¿yczki pozabankowe;71314;29855;519905229
Wielkopolskie;PL41;Wielkopolskie;2818023;Ogó³em;1479310;110869;67419437792,9971842857142857142857142855
Wielkopolskie;PL41;Wielkopolskie;2818023;Mieszkaniowe;406965;3793;47012139226,2976173809523809523809523809
Wielkopolskie;PL41;Wielkopolskie;2818023;Karty;482877;24076;1398564743,58333333333333333333333333333
Wielkopolskie;PL41;Wielkopolskie;2818023;Limity;668452;17896;999441624,749999999999999999999999999999
Wielkopolskie;PL41;Wielkopolskie;2818023;Bank;1458194;93600;66899532563,9971842857142857142857142855
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Po¿yczki pozabankowe;36252;15088;238164933,6534
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Ratalne;175759;10515;1084408026,30758333333333333333333333333
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Karty;232936;16329;637260750,583333333333333333333333333334
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Gotówkowe;269372;27132;8112935947,76004999999999999999999999998
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Mieszkaniowe;203088;2839;24513011043,7570044444444444444444444445
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Bank;696806;55374;34794415322,8413044444444444444444444445
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Ogó³em;708113;64498;35032580256,4947044444444444444444444445
Zachodniopomorskie;PL42;Zachodniopomorskie;1407493;Limity;308997;10547;437789739,933333333333333333333333333335
;;;;Limity;50358;4929;18094929,8738095238095238095238095238096
;;;;Mieszkaniowe;9775;285;1148647660,42723178571428571428571428572
;;;;Karty;13515;483;19606563,85
;;;;Ogó³em;94622;7308;1581827267,06961280303030303030303030303
;;;;Gotówkowe;15985;991;308642188,997474826839826839826839826841
;;;;Bank;92646;7013;1576410662,06961280303030303030303030303
;;;;Ratalne;16071;598;81047018,9210966666666666666666666666667
;;;;Po¿yczki pozabankowe;2307;327;5416605
